代码,名称,开盘价,收盘价,收益率(%)
002026,山东威达,11.5,12.25,6.52
600521,华海药业,14.97,15.62,4.34
600969,郴电国际,7.74,7.98,3.1
002594,比亚迪,383.5,394.8,2.95
600249,两面针,6.1,6.21,1.8
603776,永安行,18.59,18.83,1.29
603172,万丰股份,15.35,15.43,0.52
600119,长江投资,8.43,8.39,-0.47
603836,海程邦达,14.24,14.06,-1.26
002307,北新路桥,4.21,4.11,-2.38
