time,price,bid2_vol,ask2_vol,live_vol,price_change,volume_change
2025-05-21 09:15:03+08:00,42.06,2439,2147483648,2661,,
2025-05-21 09:15:06+08:00,42.06,4673,2147483648,3071,0.0,0.1540774145058248
2025-05-21 09:15:09+08:00,42.06,4048,2147483648,3696,0.0,0.2035167697818301
2025-05-21 09:15:15+08:00,41.97,1646,2147483648,9436,-0.0021398002853068032,1.5530303030303032
2025-05-21 09:15:18+08:00,41.97,1946,2147483648,9436,0.0,0.0
2025-05-21 09:16:27+08:00,41.97,1313,2147483648,10069,0.0,0.06708350996184831
2025-05-21 09:16:45+08:00,41.97,1946,2147483648,9436,0.0,-0.06286622306087997
2025-05-21 09:17:03+08:00,41.97,1313,2147483648,10069,0.0,0.06708350996184831
2025-05-21 09:17:06+08:00,41.97,2213,2147483648,10069,0.0,0.0
2025-05-21 09:17:12+08:00,41.97,2013,2147483648,10269,0.0,0.01986294567484359
2025-05-21 09:17:21+08:00,41.97,1413,2147483648,10869,0.0,0.05842827928717509
2025-05-21 09:18:06+08:00,42.06,4415,2147483648,5129,0.002144388849178114,-0.5281074615880026
2025-05-21 09:18:21+08:00,42.06,5048,2147483648,4496,0.0,-0.12341587054006631
2025-05-21 09:18:33+08:00,42.06,4148,2147483648,5396,0.0,0.20017793594306044
2025-05-21 09:18:42+08:00,42.06,3948,2147483648,5596,0.0,0.03706449221645669
2025-05-21 09:19:09+08:00,42.06,4548,2147483648,4996,0.0,-0.10721944245889925
2025-05-21 09:19:21+08:00,42.06,4347,2147483648,5197,0.0,0.04023218574859877
2025-05-21 09:19:27+08:00,42.06,4547,2147483648,4997,0.0,-0.03848374061958826
2025-05-21 09:19:36+08:00,42.06,4287,2147483648,5257,0.0,0.05203121873123884
2025-05-21 09:19:39+08:00,42.06,4114,2147483648,5430,0.0,0.032908502948449714
2025-05-21 09:20:03+08:00,42.06,3838,2147483648,5706,0.0,0.05082872928176796
2025-05-21 09:20:06+08:00,42.1,6526,2147483648,5918,0.0009510223490252212,0.03715387311601814
2025-05-21 09:20:21+08:00,42.1,5334,2147483648,7110,0.0,0.20141939844542067
2025-05-21 09:20:48+08:00,42.1,4452,2147483648,7992,0.0,0.1240506329113924
2025-05-21 09:21:36+08:00,42.1,4170,2147483648,8274,0.0,0.035285285285285184
2025-05-21 09:21:42+08:00,42.1,2942,2147483648,9502,0.0,0.1484167270969301
2025-05-21 09:21:45+08:00,42.1,2342,2147483648,10102,0.0,0.06314460113660281
2025-05-21 09:21:51+08:00,42.1,1652,2147483648,10792,0.0,0.06830330627598502
2025-05-21 09:22:15+08:00,42.1,2252,2147483648,10792,0.0,0.0
2025-05-21 09:22:30+08:00,42.1,1220,2147483648,11824,0.0,0.09562638991845818
2025-05-21 09:22:33+08:00,42.1,6220,2147483648,11824,0.0,0.0
2025-05-21 09:22:36+08:00,42.1,5524,2147483648,12520,0.0,0.058863328822733374
2025-05-21 09:22:42+08:00,42.1,4891,2147483648,13153,0.0,0.050559105431309925
2025-05-21 09:22:45+08:00,42.1,5191,2147483648,13153,0.0,0.0
2025-05-21 09:22:51+08:00,42.1,5691,2147483648,13153,0.0,0.0
2025-05-21 09:23:03+08:00,42.1,5391,2147483648,13453,0.0,0.02280848475632946
